Name,Description,Link
Tania A. Baker,"Tania Baker’s current research explores mechanisms and regulation of enzyme-catalyzed protein unfolding, ATP-dependent protein degradation, and remodeling of the proteome during cellular stress responses. ",https://biology.mit.edu/profile/tania-a-baker/
David Bartel,David Bartel studies molecular pathways that regulate eukaryotic gene expression by affecting the stability or translation of mRNAs.,https://biology.mit.edu/profile/david-bartel/
Stephen Bell,Stephen Bell probes the cellular machinery that replicates and maintains animal cell chromosomes.,https://biology.mit.edu/profile/stephen-bell/
Laurie A. Boyer,Laurie A. Boyer investigates the gene regulatory mechanisms that drive heart development and regeneration using embryonic stem cells and mouse models.,https://biology.mit.edu/profile/laurie-a-boyer/
Christopher Burge,Christopher Burge applies a combination of experimental and computational approaches to understand the regulatory codes underlying pre-mRNA splicing and other types of post-transcriptional gene regulation.,https://biology.mit.edu/profile/christopher-burge/
Eliezer Calo,Eliezer Calo studies how cells build ribosomes and how dysfunction in ribosome biogenesis and function leads to tissue-specific developmental disorders and cancer.,https://biology.mit.edu/profile/eliezer-calo/
Lindsay Case,Lindsay Case studies how molecules are concentrated and organized at the plasma membrane to regulate transmembrane signaling.,https://biology.mit.edu/profile/lindsay-case/
Iain M. Cheeseman,"Iain Cheeseman analyzes the process by which cells duplicate, focusing on how the molecular machinery that segregates the chromosomes is rewired across diverse physiological contexts.",https://biology.mit.edu/profile/iain-m-cheeseman/
Jianzhu Chen,"Jianzhu Chen studies the immune system, harnessing the body’s defense force to explore treatment and prevention for cancer, as well as metabolic and infectious diseases.",https://biology.mit.edu/profile/jianzhu-chen/
Sallie (Penny) W. Chisholm,"Sallie (Penny) W. Chisholm studies the biology, ecology, and evolution of the single most abundant marine phytoplankton species in order to understand the forces that shape microbial ecosystems.",https://biology.mit.edu/profile/sallie-penny-w-chisholm/
Ibrahim Cissé,"Ibrahim Cissé develops single-molecule and super-resolution approaches to study protein clustering, biomolecular condensation in transcription, and other processes in living cells.",https://biology.mit.edu/profile/ibrahim-cisse/
Olivia Corradin,Olivia Corradin investigates the genetic and epigenetic changes in gene regulatory elements that influence human disease.,https://biology.mit.edu/profile/olivia-corradin/
Joseph (Joey) Davis,"Joey Davis investigates how cells maintain a delicate internal balance of assembling and dismantling their own machinery — in particular, assemblages of many molecules known as macromolecular complexes.",https://biology.mit.edu/profile/joseph-joey-davis/
Catherine Drennan,Catherine Drennan takes “snapshots” of metalloenzymes using crystallography and/or cryo-electron microscopy.,https://biology.mit.edu/profile/catherine-drennan/
Gerald R. Fink,"Gerald R. Fink investigates how fungal pathogens invade the body, evade the immune system, and establish an infection.",https://biology.mit.edu/profile/gerald-r-fink/
Mary Gehring,Mary Gehring researches epigenetic mechanisms of gene regulation in plants.,https://biology.mit.edu/profile/mary-gehring/
Alan D. Grossman,"Alan Grossman studies mechanisms and regulation of DNA replication, gene expression, and horizontal gene transfer in bacteria.",https://biology.mit.edu/profile/alan-d-grossman/
Leonard P. Guarente,"Leonard P. Guarente looks at mammal, mouse, and human brains to understand the genetic underpinning of aging and age-related diseases like Alzheimer’s.",https://biology.mit.edu/profile/leonard-p-guarente/
Michael T. Hemann,Michael T. Hemann uses mouse models to combat cancers resistant to chemotherapy.,https://biology.mit.edu/profile/michael-t-hemann/
H. Robert Horvitz,"H. Robert Horvitz analyzes the roles of genes in animal development and behavior, gaining insight into human disease.",https://biology.mit.edu/profile/h-robert-horvitz/
David Housman,"David Housman studies the biological underpinnings of diseases like Huntington’s, cancer, and cardiovascular disease.",https://biology.mit.edu/profile/david-housman/
Siniša Hrvatin,"Siniša Hrvatin studies states of stasis, such as mammalian torpor and hibernation, as a means to harness the potential of these biological adaptations to advance medicine.",https://biology.mit.edu/profile/sinisa-hrvatin/
Richard O. Hynes,Richard O. Hynes investigates the network of proteins surrounding cells to understand its roles in the spread of cancer throughout the body.,https://biology.mit.edu/profile/richard-o-hynes/
Barbara Imperiali,Barbara Imperiali studies the biogenesis and myriad functions of glycoconjugates in human health and disease.,https://biology.mit.edu/profile/barbara-imperiali/
Tyler Jacks,"Tyler Jacks is interested in the genetic events contributing to the development of cancer, and his group has created a series of mouse strains engineered to carry mutations in genes known to be involved in human cancers.",https://biology.mit.edu/profile/tyler-jacks/
Rudolf Jaenisch,"Rudolf Jaenisch uses pluripotent cells (ES and iPS cells) to study the genetic and epigenetic basis of human diseases such as Parkinson’s, Alzheimer’s, autism and cancer.",https://biology.mit.edu/profile/rudolf-jaenisch/
Ankur Jain,Ankur Jain investigates the role of RNA self-assembly in cellular organization and neurodegenerative disease.  ,https://biology.mit.edu/profile/ankur-jain/
Chris A. Kaiser,"Before closing his lab, Chris A. Kaiser analyzed protein folding and trafficking in cells.",https://biology.mit.edu/profile/chris-a-kaiser/
Amy E. Keating,"Amy E. Keating determines how proteins make specific interactions with one another and designs new, synthetic protein-protein interactions.",https://biology.mit.edu/profile/amy-e-keating/
Kristin Knouse ,Kristin Knouse seeks to understand and modulate organ injury and repair by innovating tools for experimentation directly within living organisms. ,https://biology.mit.edu/profile/kristin-knouse/
Monty Krieger,"Monty Krieger studies cell surface receptors and cholesterol and their impact on normal physiology and diseases, such as heart disease and infertility.",https://biology.mit.edu/profile/monty-krieger/
Rebecca Lamason,"Rebecca Lamason investigates what happens when cellular functions are hijacked by unwanted interlopers: namely, the bacteria that engender diseases like spotted fever and meningitis.",https://biology.mit.edu/profile/rebecca-lamason/
Eric S. Lander,Eric S. Lander is interested in every aspect of the human genome and its application to medicine. He currently serves as Presidential Science Advisor and Director of the Office of Science and Technology Policy.,https://biology.mit.edu/profile/eric-s-lander/
Michael T. Laub,"Michael T. Laub explores how bacterial cells process information and regulate their own growth and proliferation, as well as how these information-processing capabilities have evolved.",https://biology.mit.edu/profile/michael-t-laub/
Douglas Lauffenburger,"Douglas Lauffenburger fosters the interface of bioengineering, quantitative cell biology, and systems biology to determine fundamental aspects of cell dysregulation — identifying and testing new therapeutic ideas.",https://biology.mit.edu/profile/douglas-lauffenburger/
Jacqueline Lees,"Jacqueline Lees develops mouse and zebrafish models, identifying the molecular pathways leading to tumor formation.",https://biology.mit.edu/profile/jacqueline-lees/
Ruth Lehmann,"Ruth Lehmann studies the biological origins of germ cells, and how they transmit the potential to build a completely new organism to their offspring.",https://biology.mit.edu/profile/ruth-lehmann/
Gene-Wei Li,Gene-Wei Li investigates how quantitative information regarding precise proteome composition is encoded in and extracted from bacterial genomes.,https://biology.mit.edu/profile/gene-wei-li/
Pulin Li,Pulin Li is interested in quantitatively understanding how genetic circuits create multicellular behavior in both natural and synthetically engineered systems. ,https://biology.mit.edu/profile/pulin-li/
Troy Littleton,"Troy Littleton is interested in how neuronal connections form and function, and how neurological disease disrupts synaptic communication.",https://biology.mit.edu/profile/troy-littleton/
Harvey F. Lodish,"Before closing his lab, Harvey F. Lodish studied the development of red blood cells and the use of modified red cells for the introduction of novel therapeutics into the human body, as well as the development of brown and white fat cells.",https://biology.mit.edu/profile/harvey-f-lodish/
Sebastian Lourido,Sebastian Lourido exposes parasite vulnerabilities and harnesses them to treat infectious disease.,https://biology.mit.edu/profile/sebastian-lourido/
Adam C. Martin,Adam C. Martin studies molecular mechanisms that underlie tissue form and function.,https://biology.mit.edu/profile/adam-c-martin/
Hernandez Moura Silva,Hernandez Moura Silva seeks to understand how the immune system supports tissue physiology to unveil new approaches to treat human diseases.,https://biology.mit.edu/profile/hernandez-moura-silva/
Elly Nedivi,"Elly Nedivi studies the mechanisms underlying brain circuit plasticity — characterizing the genes and proteins involved, as well as visualizing synaptic and neuronal remodeling in the living mouse brain.",https://biology.mit.edu/profile/elly-nedivi/
David C. Page,"David C. Page examines the genetic differences between males and females — and how these play out in disease, development, and evolution.",https://biology.mit.edu/profile/david-c-page/
Sara Prescott,Sara Prescott investigates how sensory inputs from within the body control mammalian physiology and behavior.,https://biology.mit.edu/profile/sara-prescott/
Peter Reddien,Peter Reddien works to unravel one of the greatest mysteries in biology — how organisms regenerate missing body parts.,https://biology.mit.edu/profile/peter-reddien/
Aviv Regev,"Aviv Regev pioneers the use of single-cell genomics and other techniques to dissect the molecular networks that regulate genes, define cells and tissues, and influence health and disease.",https://biology.mit.edu/profile/aviv-regev/
Alison E. Ringel,Alison E. Ringel seeks to understand the molecular adaptations that enable immune cells to function and survive within unfavorable environments.,https://biology.mit.edu/profile/alison-e-ringel/
Francisco J.  Sánchez-Rivera,"Francisco J. Sánchez-Rivera aims to understand how genetic variation shapes normal physiology and disease, with a focus on cancer.",https://biology.mit.edu/profile/francisco-j-sanchez-rivera/
Robert T. Sauer,Bob Sauer studies intracellular proteolytic machines responsible for protein-quality control and homeostasis.,https://biology.mit.edu/profile/robert-t-sauer/
Thomas U. Schwartz,"Thomas U. Schwartz investigates communication across biological membranes, using structural, biochemical, and genetic tools.",https://biology.mit.edu/profile/thomas-u-schwartz/
Phillip A. Sharp,"Phillip A. Sharp studies many aspects of gene expression in mammalian cells, including transcription, the roles of non-coding RNAs, and RNA splicing. ",https://biology.mit.edu/profile/phillip-a-sharp/
Anthony J. Sinskey,Anthony J. Sinskey explores the principles of metabolic engineering in both bacteria and plants.,https://biology.mit.edu/profile/anthony-j-sinskey/
Yadira Soto-Feliciano,Yadira Soto-Feliciano studies chromatin and epigenetic regulation in normal development and cancer.,https://biology.mit.edu/profile/yadira-soto-feliciano/
Stefani Spranger,Stefani Spranger studies how the body’s immune system interacts with growing tumors to harness the immune response to fight cancer.,https://biology.mit.edu/profile/stefani-spranger/
Susumu Tonegawa,Susumu Tonegawa investigates the biological underpinnings of learning and memory in rodents.,https://biology.mit.edu/profile/susumu-tonegawa/
Matthew Vander Heiden,"Matthew Vander Heiden is interested in the role that cell metabolism plays in mammalian physiology, with a focus on cancer.",https://biology.mit.edu/profile/matthew-vander-heiden/
Seychelle M. Vos,Seychelle M. Vos investigates how genome organization and gene expression are physically coupled across molecular scales.,https://biology.mit.edu/profile/seychelle-m-vos/
Graham C. Walker,"Graham C. Walker studies DNA repair, mutagenesis, and cellular responses to DNA damage, as well as the symbiotic relationship between legumes and nitrogen-fixing bacteria.",https://biology.mit.edu/profile/graham-c-walker/
Bruce Walker,"Bruce Walker investigates cellular immune responses in chronic human viral infections, with a particular focus on HIV immunology and vaccine development. ",https://biology.mit.edu/profile/bruce-walker/
Robert A. Weinberg,"Robert A. Weinberg studies how cancer spreads, what gives cancer stem-cells their unique qualities, and the molecular players involved in the formation of cancer stem cells and metastases.",https://biology.mit.edu/profile/robert-a-weinberg/
Jonathan Weissman,"Jonathan Weissman investigates how proteins fold into their correct shape and how misfolding impacts disease and normal physiology, while building innovative tools for exploring the organizational principles of biological systems.",https://biology.mit.edu/profile/jonathan-weissman/
Jing-Ke  Weng,Jing-Ke Weng studies metabolic evolution in plants and explores the remarkable plant chemodiversity for new commodity chemicals and medicines.,https://biology.mit.edu/profile/jing-ke-weng/
Matthew A. Wilson,Matthew Wilson studies rodent learning and memory by recording and manipulating the activity of neurons during behavior and sleep.,https://biology.mit.edu/profile/matthew-a-wilson/
Harikesh S. Wong,Harikesh S. Wong studies how intercellular communication controls the immune response in tissues.,https://biology.mit.edu/profile/harikesh-s-wong/
Michael B. Yaffe,"Michael B. Yaffe studies the chain of reactions that controls a cell’s response to stress, cell injury, and DNA damage.",https://biology.mit.edu/profile/michael-b-yaffe/
Yukiko Yamashita,"Yukiko Yamashita studies two fundamental aspects of multicellular organisms: how cell fates are diversified via asymmetric cell division, and how genetic information is transmitted through generations via the germline.",https://biology.mit.edu/profile/yukiko-yamashita/
Omer H. Yilmaz,"Omer H. Yilmaz explores the impact of dietary interventions on stem cells, the immune system, and cancer within the intestine.",https://biology.mit.edu/profile/omer-h-yilmaz/
Richard A. Young,Richard A. Young explores how and why gene expression differs in healthy versus diseased cells. ,https://biology.mit.edu/profile/richard-a-young/
Martha Constantine-Paton,"Before closing her lab, Martha Constantine-Paton used a combination of classical and modern genetic tools in mice to study the contributions of specific brain regions to normal behavior.",https://biology.mit.edu/profile/martha-constantine-paton/
Frank Gertler,"Before closing his lab, Frank B. Gertler considered the role of cell shape and movement in developmental defects and diseases.",https://biology.mit.edu/profile/frank-b-gertler/
Nancy Hopkins,"Before closing her lab, Nancy Hopkins worked on the genetics of mouse RNA tumor viruses; on the genetics of early vertebrate development using zebrafish; and on the fish as a cancer model. ",https://biology.mit.edu/profile/nancy-hopkins/
Jonathan A.  King,"Before closing his lab, Jonathan A. King studied what happens when proteins do not fold properly — leading to conditions like cataracts. He currently works to protect the conditions needed to support biomedical research.",https://biology.mit.edu/profile/jonathan-a-king/
Terry Orr-Weaver,"Before closing her lab, Terry Orr-Weaver probed the incredibly complex and coordinated process of development from egg to fertilized embryo and ultimately adult.",https://biology.mit.edu/profile/terry-orr-weaver/
Mary-Lou Pardue,"Before closing her lab, Mary-Lou Pardue studied fruit fly chromosomes to better understand chromosome replication, cell division, and related cellular structures. ",https://biology.mit.edu/profile/mary-lou-pardue/
William (Chip) Quinn,"Before closing his lab, William Quinn analyzed the molecular and genetic underpinnings of learning and memory in fruit flies before retiring. ",https://biology.mit.edu/profile/william-quinn/
Uttam  RajBhandary,"Before closing his lab, Uttam RajBhandary studied interactions between RNAs and proteins, focusing on gene expression and gene regulation.",https://biology.mit.edu/profile/uttam-rajbhandary/
Leona Samson,"Before closing her lab, Leona Samson analyzed toxic chemicals frequently used in cancer chemotherapy to prevent further DNA damage.",https://biology.mit.edu/profile/leona-samson/
Paul Schimmel,"Paul Schimmel has worked throughout his career to translate bench-side research into tangible products that improve human health — including those related to alcoholism, schizophrenia, autism, AIDS, heart disease, and cancer.",https://biology.mit.edu/profile/paul-schimmel/
Hazel Sive,"Hazel Sive studies fundamental mechanisms underlying vertebrate face and brain formation, as well as the molecular underpinnings for neurodevelopmental disorders.",https://biology.mit.edu/profile/hazel-sive/
Frank Solomon,"Frank Solomon teaches undergraduates, graduate students, postdoctoral scholars, and MSRP participants in the areas of cell biology, experimental design, and responsible conduct of research.",https://biology.mit.edu/profile/frank-solomon/
Lisa A. Steiner,"Before closing her lab, Lisa A. Steiner analyzed the zebrafish genome to understand white blood cells and their role in the immune system.",https://biology.mit.edu/profile/lisa-steiner/
JoAnne Stubbe,"JoAnne Stubbe studies ribonucleotide reductases — essential enzymes that provide the building blocks for DNA replication, repair and successful targets of multiple clinical drugs.",https://biology.mit.edu/profile/joanne-stubbe/
